arc_length;U_1;U_1;U_1
0.1848;0.459707;1.14677;2.84268
0.1851;0.45986;1.14796;2.84507
0.1854;0.459997;1.14914;2.84744
0.1857;0.460134;1.15033;2.84981
0.186;0.460271;1.15151;2.85218
0.1863;0.460382;1.15268;2.85453
0.1866;0.460493;1.15386;2.85688
0.1869;0.460604;1.15503;2.85922
0.1872;0.460698;1.1562;2.86155
0.1875;0.460784;1.15736;2.86388
0.1878;0.460869;1.15852;2.8662
0.1881;0.460946;1.15968;2.86851
0.1884;0.461005;1.16083;2.87081
0.1887;0.461064;1.16198;2.87311
0.189;0.461123;1.16314;2.8754
0.1893;0.461155;1.16428;2.87768
0.1896;0.461188;1.16542;2.87995
0.1899;0.46122;1.16656;2.88222
0.1902;0.461234;1.16769;2.88448
0.1905;0.46124;1.16882;2.88673
0.1908;0.461245;1.16996;2.88897
0.1911;0.461241;1.17108;2.89121
0.1914;0.46122;1.1722;2.89344
0.1917;0.461198;1.17332;2.89566
0.192;0.461176;1.17444;2.89789
0.1923;0.461126;1.17555;2.90009
0.1926;0.461076;1.17666;2.90229
0.1929;0.461027;1.17777;2.90449
0.1932;0.460959;1.17887;2.90668
0.1935;0.460881;1.17997;2.90886
0.1938;0.460804;1.18107;2.91104
0.1941;0.460717;1.18217;2.91321
0.1944;0.460611;1.18325;2.91536
0.1947;0.460505;1.18434;2.91752
0.195;0.460399;1.18543;2.91968
0.1953;0.460265;1.18651;2.92181
0.1956;0.46013;1.18758;2.92394
0.1959;0.459996;1.18866;2.92607
0.1962;0.459842;1.18973;2.92819
0.1965;0.459678;1.1908;2.9303
0.1968;0.459514;1.19186;2.93241
0.1971;0.459341;1.19292;2.93451
0.1974;0.459147;1.19398;2.9366
0.1977;0.458954;1.19504;2.93868
0.198;0.458761;1.19609;2.94077
0.1983;0.458537;1.19714;2.94284
0.1986;0.458314;1.19818;2.9449
0.1989;0.458091;1.19923;2.94697
0.1992;0.457847;1.20027;2.94902
0.1995;0.457594;1.2013;2.95106
0.1998;0.457341;1.20234;2.9531
0.2001;0.457077;1.20337;2.95514
0.2004;0.456793;1.20439;2.95716
0.2007;0.456508;1.20542;2.95918
0.201;0.456224;1.20644;2.9612
0.2013;0.455909;1.20745;2.9632
0.2016;0.455594;1.20846;2.9652
0.2019;0.455279;1.20948;2.96719
0.2022;0.454942;1.21048;2.96918
0.2025;0.454596;1.21148;2.97116
0.2028;0.454249;1.21248;2.97313
0.2031;0.453892;1.21348;2.9751
0.2034;0.453514;1.21447;2.97706
0.2037;0.453135;1.21547;2.97901
0.204;0.452757;1.21646;2.98096
0.2043;0.452346;1.21744;2.9829
0.2046;0.451936;1.21842;2.98483
0.2049;0.451525;1.2194;2.98676
0.2052;0.451093;1.22037;2.98868
0.2055;0.45065;1.22134;2.9906
0.2058;0.450207;1.22231;2.99251
0.2061;0.449753;1.22328;2.99441
0.2064;0.449278;1.22424;2.9963
